#------------------------------------------------------------------------------------------------------
# PROJCS axis table
#
# syntax: [PROJCS,] cs-code, axis-code
#------------------------------------------------------------------------------------------------------

PE_PCS_PULKOVO_1995_3_DEG_GK_25, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_26, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_27, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_28, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_29, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_30, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_31, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_32, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_33, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_34, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_35, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_36, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_37, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_38, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_39, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_40, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_41, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_42, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_43, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_44, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_45, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_46, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_47, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_48, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_49, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_50, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_51, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_52, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_53, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_54, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_55, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_56, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_57, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_58, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_59, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_61, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_62, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_63, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_64, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_21E, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_24E, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_27E, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_30E, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_33E, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_36E, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_39E, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_42E, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_45E, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_48E, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_51E, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_54E, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_57E, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_60E, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_63E, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_66E, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_69E, NE
