#------------------------------------------------------------------------------------------------------
# HVCOORDSYS description table
#
# syntax: [HVCOORDSYS,] code, "utf8-description"
#------------------------------------------------------------------------------------------------------

PE_HVC_KKJ_FINLAND_UCS_N60_HT, "Finland - onshore"
PE_HVC_NAD_1983_SPCS_ND_S_IFT_NAVD88_HT_IFT, "USA - North Dakota - SPCS - S"
PE_HVC_NAD_1983_SPCS_OR_N_IFT_NAVD88_HT_IFT, "USA - Oregon - SPCS - N"
PE_HVC_NAD_1983_SPCS_OR_S_IFT_NAVD88_HT_IFT, "USA - Oregon - SPCS - S"
PE_HVC_NAD_1983_SPCS_SC_IFT_NAVD88_HT_IFT, "USA - South Carolina"
PE_HVC_NAD_1983_SPCS_AR_N_USFT_NAVD88_HT_USFT, "USA - Arkansas - SPCS - N"
PE_HVC_NAD_1983_SPCS_AR_S_USFT_NAVD88_HT_USFT, "USA - Arkansas - SPCS - S"
PE_HVC_NAD_1983_SPCS_CA_I_USFT_NAVD88_HT_USFT, "USA - California - SPCS - I"
PE_HVC_NAD_1983_SPCS_CA_II_USFT_NAVD88_HT_USFT, "USA - California - SPCS - II"
PE_HVC_NAD_1983_SPCS_CA_III_USFT_NAVD88_HT_USFT, "USA - California - SPCS - III"
PE_HVC_NAD_1983_SPCS_CA_IV_USFT_NAVD88_HT_USFT, "USA - California - SPCS - IV"
PE_HVC_NAD_1983_SPCS_CA_V_USFT_NAVD88_HT_USFT, "USA - California - SPCS - V"
PE_HVC_NAD_1983_SPCS_CA_VI_USFT_NAVD88_HT_USFT, "USA - California - SPCS - VI"
PE_HVC_NAD_1983_SPCS_CO_N_USFT_NAVD88_HT_USFT, "USA - Colorado - SPCS - N"
PE_HVC_NAD_1983_SPCS_CO_C_USFT_NAVD88_HT_USFT, "USA - Colorado - SPCS - C"
PE_HVC_NAD_1983_SPCS_CO_S_USFT_NAVD88_HT_USFT, "USA - Colorado - SPCS - S"
PE_HVC_NAD_1983_SPCS_CT_USFT_NAVD88_HT_USFT, "USA - Connecticut"
PE_HVC_NAD_1983_SPCS_DE_USFT_NAVD88_HT_USFT, "USA - Delaware"
PE_HVC_NAD_1983_SPCS_FL_N_USFT_NAVD88_HT_USFT, "USA - Florida - SPCS - N"
PE_HVC_NAD_1983_SPCS_FL_E_USFT_NAVD88_HT_USFT, "USA - Florida - SPCS - E"
PE_HVC_NAD_1983_SPCS_FL_W_USFT_NAVD88_HT_USFT, "USA - Florida - SPCS - W"
PE_HVC_NAD_1983_SPCS_GA_E_USFT_NAVD88_HT_USFT, "USA - Georgia - SPCS - E"
PE_HVC_NAD_1983_SPCS_GA_W_USFT_NAVD88_HT_USFT, "USA - Georgia - SPCS - W"
PE_HVC_NAD_1983_SPCS_ID_E_USFT_NAVD88_HT_USFT, "USA - Idaho - SPCS - E"
PE_HVC_NAD_1983_SPCS_ID_C_USFT_NAVD88_HT_USFT, "USA - Idaho - SPCS - C"
PE_HVC_NAD_1983_SPCS_ID_W_USFT_NAVD88_HT_USFT, "USA - Idaho - SPCS - W"
PE_HVC_NAD_1983_SPCS_IL_E_USFT_NAVD88_HT_USFT, "USA - Illinois - SPCS - E"
PE_HVC_NAD_1983_SPCS_IL_W_USFT_NAVD88_HT_USFT, "USA - Illinois - SPCS - W"
