#------------------------------------------------------------------------------------------------------
# PROJCS deprecated table
#
# syntax: [PROJCS,] factory-code, status
#------------------------------------------------------------------------------------------------------

PE_PCS_NAD_1983_HARN_ADJ_WI_CO_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_CR_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_DN_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_EC_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_GR_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_GL_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_JA_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_LF_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_LG_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_MA_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_MQ_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_MR_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_ON_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_PP_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_PC_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_PT_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_RC_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_SW_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_TA_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_VR_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_VI_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_WW_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_WB_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_WS_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_WD_FT, discontinued
